model,accuracy,recall_0,f1_0,recall_1,f1_1,macro_f1,weighted_f1
XGBoost all features,0.8127776790474498,1.0,0.8967207489828929,0.0,0.0,0.44836037449144645,0.7288346091120065
XGBoost top 10 balanced,0.5534476630531366,0.5223570569585656,0.6553509584061996,0.6884195538680589,0.3659875102504258,0.5106692343283127,0.6011756620436427
XGBoost top 10 unbalanced,0.8135773947041052,0.9995626981523997,0.8970761381475667,0.006169909824394874,0.01224105461393597,0.45465859638075135,0.7314152601481568
LogReg all features,0.8139772525324329,0.9944790641740462,0.8968032928302074,0.030374940673943997,0.05761872608597794,0.4772110094580927,0.7396892105367925
LogReg top 10 balanced,0.592411586991292,0.5873510440581612,0.7008218105922254,0.6143806359753203,0.36078595317725753,0.5308038818847415,0.6371595081599046
LogReg top 10 unbalanced,0.8130442509330016,0.9973761889143982,0.8966093366093366,0.012814428096820124,0.025023169601482854,0.46081625310540975,0.7334289515119893
